_id,time,time_Code,gps_On,gps_Latitude,gps_Longitude,gps_Speed,gps_Accuracy,gps_Altitude,gps_Bearing,gps_Last_Update_Time,network_On,network_Latitude,network_Longitude,network_Speed,network_Accuracy,network_Altitude,network_Bearing,network_Last_Update_Time,accellerometor_Raw_X,accellerometor_Raw_Y,accellerometor_Raw_Z,accellerometor_X_Gs,accellerometor_Y_Gs,accellerometor_Z_Gs,orrientation_Raw_X,orrientation_Raw_Y,orrientation_Raw_Z
17,2011/10/18 13:46:13,1318963573805,1,40.0702944584191,-88.2494563702494,0.750600039958954,25.0,206.299987792969,226.0,1318963589000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.23154591023922,0.572054624557495,9.91561317443848,0.0236271336978796,0.0583729208732138,1.0117972626978,347.375,176.703125,1.34375
18,2011/10/18 13:46:14,1318963574802,1,40.0702952966094,-88.2494664285332,0.813149988651276,15.0,206.0,243.0,1318963590000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.354129046201706,-0.476712167263031,10.1335382461548,0.0361356169593577,0.0486440987003093,1.03403451491375,258.71875,-177.3125,1.984375
19,2011/10/18 13:46:15,1318963575823,1,40.0702965119854,-88.2494773250073,0.813149988651276,15.0,206.0,255.0,1318963591000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.340508699417114,0.681017398834229,10.2016401290894,0.0347457856548076,0.0694915713096152,1.04098368664177,200.703125,176.1875,1.90625
20,2011/10/18 13:46:16,1318963576808,1,40.070298188366,-88.2494880538434,0.938250005245209,15.0,206.0,263.0,1318963592000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,-0.245166257023811,0.286027312278748,10.0926780700684,0.0250169650024297,0.0291864604366069,1.02986510919065,285.484375,178.375,-1.40625
21,2011/10/18 13:46:17,1318963577808,1,40.0702989008278,-88.2494992855936,0.813149988651276,5.0,205.700012207031,267.0,1318963593000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.449471473693848,0.23154591023922,10.0518169403076,0.0458644360912089,0.0236271336978796,1.02569560615384,344.484375,178.6875,2.546875
22,2011/10/18 13:46:18,1318963578809,1,40.0702989427373,-88.2495073322207,0.625500023365021,5.0,205.599975585937,267.0,1318963594000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,-0.0408610440790653,-0.122583128511906,10.2833623886108,0.00416949429378218,0.0125084825012149,1.04932269271539,318.1875,180.0,-0.21875
23,2011/10/18 13:46:19,1318963579811,1,40.070298188366,-88.2495119422674,0.250200003385544,5.0,205.599975585937,264.0,1318963595000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.14982382953167,-0.885322630405426,10.1880197525024,0.0152881458705785,0.090339043918921,1.03959385229617,190.640625,-175.046875,0.84375
24,2011/10/18 13:46:20,1318963580817,1,40.0702988589183,-88.2495125290006,0.187650009989738,5.0,205.599975585937,301.0,1318963596000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,-0.681017398834229,-1.0623871088028,10.0245761871338,0.0694915713096152,0.10840684783702,1.02291593746263,97.28125,-173.96875,-3.859375
25,2011/10/18 13:46:21,1318963581815,1,40.0703052291647,-88.2495098467916,0.813149988651276,5.0,205.700012207031,325.0,1318963597000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,-0.490332514047623,-0.367749392986298,10.4059457778931,0.0500339300048594,0.0375254482639079,1.06183120182582,45.28125,-177.984375,-2.6875
26,2011/10/18 13:46:22,1318963582815,1,40.0703181372955,-88.2495076674968,1.18845009803772,15.0,205.299987792969,339.0,1318963598000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,-0.408610433340073,0.190684869885445,9.80665016174316,0.0416949421775584,0.019457639784229,1.00067858793298,244.5,178.875,-2.375
27,2011/10/18 13:46:23,1318963583816,1,40.0703408941627,-88.2495100982487,1.8139500617981,15.0,204.200012207031,347.0,1318963599000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,-1.49823820590973,0.803600490093231,9.95647430419922,0.152881449582625,0.0820000500095134,1.01596676573461,254.8125,175.4375,-8.53125
28,2011/10/18 13:46:24,1318963584820,1,40.0703559396789,-88.2495272811502,1.68885004520416,15.0,203.5,344.0,1318963600000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,-1.93408942222595,0.136203482747078,9.87475204467773,0.197356063492444,0.0138983145660284,1.00762775966099,271.453125,179.21875,-11.09375
29,2011/10/18 13:46:25,1318963585821,1,40.0703785708174,-88.2495510857552,2.25180006027222,15.0,202.900024414063,338.0,1318963601000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.108962781727314,-0.640156328678131,9.84751129150391,0.0111186511966647,0.0653220743549113,1.00484809096979,138.390625,-176.28125,0.640625
